id,value,feed_id,created_at,lat,lon,ele
0DSHS0CQGSBYD4WV3MTPNBJCF9,47.348541,756683,2018-01-28 21:09:10 UTC,0.0,0.0,0.0
0DSHS0NYH0WDRMZ8FFH0V4XFHJ,47.256989,756683,2018-01-28 21:09:41 UTC,0.0,0.0,0.0
0DSHS0ZATAZHJSEYAK4TWD4ZME,47.134918,756683,2018-01-28 21:10:11 UTC,0.0,0.0,0.0
0DSHS18HSB5Z7QKW990THNNVPV,47.890228,756683,2018-01-28 21:10:42 UTC,0.0,0.0,0.0
0DSHS1HY26HQ8R6D2Q45X9YEXG,47.188324,756683,2018-01-28 21:11:12 UTC,0.0,0.0,0.0
0DSHS1V59A8PGSMP7AX82P6655,47.012848,756683,2018-01-28 21:11:43 UTC,0.0,0.0,0.0
0DSHS2FNHKY4AZK0KDS2QM10Z0,46.875519,756683,2018-01-28 21:12:50 UTC,0.0,0.0,0.0
0DSHS2RX8AG2TDNRQ1VEPKADY5,46.883148,756683,2018-01-28 21:13:20 UTC,0.0,0.0,0.0
0DSHS329A7YM0V5GJA1MCSNRG1,46.951813,756683,2018-01-28 21:13:51 UTC,0.0,0.0,0.0
0DSHS3BG5XADBCCD9VVPVHV8E2,46.967072,756683,2018-01-28 21:14:21 UTC,0.0,0.0,0.0
0DSHS3MXQ79GQE54ZQG6R1DHKX,47.104401,756683,2018-01-28 21:14:52 UTC,0.0,0.0,0.0
0DSHS3Y47B4KB1S3ZMP430SWEP,47.058624,756683,2018-01-28 21:15:22 UTC,0.0,0.0,0.0
0DSHS47GGMDTHH2ZM0XDG28NB4,47.279877,756683,2018-01-28 21:15:53 UTC,0.0,0.0,0.0
0DSHS4GQHRSA3TE5CCCWWGXDD1,47.020477,756683,2018-01-28 21:16:23 UTC,0.0,0.0,0.0
0DSHS4T3ZZVT5Y0QTMC9RNPSQ1,46.906036,756683,2018-01-28 21:16:54 UTC,0.0,0.0,0.0
0DSHS53AJQ9NCBB4233B4RF7EX,46.768707,756683,2018-01-28 21:17:24 UTC,0.0,0.0,0.0
0DSHS5CQ9Q9A9VJWQY7DG4HDCN,46.715302,756683,2018-01-28 21:17:55 UTC,0.0,0.0,0.0
0DSHS5NY5CPE4G02Y1DV61WGQ8,46.616119,756683,2018-01-28 21:18:25 UTC,0.0,0.0,0.0
0DSHS5ZAP09MDC55JAEEK63ZY0,46.616119,756683,2018-01-28 21:18:56 UTC,0.0,0.0,0.0
0DSHS68HSK9Q2ZDT0RRW6AXP2R,47.035736,756683,2018-01-28 21:19:26 UTC,0.0,0.0,0.0
0DSHS6HXZ3FAHPPYM6NMWFCP57,47.600311,756683,2018-01-28 21:19:57 UTC,0.0,0.0,0.0
0DSHS6V4Z5FG880TN8AXD2JNG6,47.783417,756683,2018-01-28 21:20:27 UTC,0.0,0.0,0.0
0DSHS74H4SDQJ4WM355HGBH8TR,47.386688,756683,2018-01-28 21:20:58 UTC,0.0,0.0,0.0
0DSHS7DR5GA66SPMX9TZRKK033,46.936554,756683,2018-01-28 21:21:28 UTC,0.0,0.0,0.0
0DSHS7Q4CRDSW78ZSRK6N8W0NT,46.883148,756683,2018-01-28 21:21:59 UTC,0.0,0.0,0.0
0DSHS80BEE5FRFFVCSD26SZM21,46.768707,756683,2018-01-28 21:22:29 UTC,0.0,0.0,0.0
0DSHS89QTY1K45PQXEGCBKANDD,46.707672,756683,2018-01-28 21:23:00 UTC,0.0,0.0,0.0
0DSHS8JYTT60F24394CPMTHBJ6,46.890778,756683,2018-01-28 21:23:30 UTC,0.0,0.0,0.0
0DSHS8WB4KRH83RZ2JC5TYJ0BX,46.814484,756683,2018-01-28 21:24:00 UTC,0.0,0.0,0.0
0DSHS95JASWEE8ZWH3KR471G4A,46.768707,756683,2018-01-28 21:24:31 UTC,0.0,0.0,0.0
0DSHS9EZ4084NVH4CPCD4J4JPF,46.852631,756683,2018-01-28 21:25:01 UTC,0.0,0.0,0.0
0DSHS9R5G2KRE6EV0V3STCAM2F,46.761078,756683,2018-01-28 21:25:32 UTC,0.0,0.0,0.0
0DSHSA1HNEG32HVFCVV1W9KTG5,47.340912,756683,2018-01-28 21:26:02 UTC,0.0,0.0,0.0
0DSHSAARP8B10E6TXCRGDMSKHY,46.867889,756683,2018-01-28 21:26:33 UTC,0.0,0.0,0.0
0DSHSAM524FGMBA8R2JVRPW0SQ,46.684784,756683,2018-01-28 21:27:03 UTC,0.0,0.0,0.0
0DSHSB3AYCN07BQK7ZJ7NFDYW8,46.684784,756683,2018-01-28 21:27:53 UTC,0.0,0.0,0.0
0DSHSBCJ2AMWYCA9G72K3PCKG8,46.639008,756683,2018-01-28 21:28:23 UTC,0.0,0.0,0.0
0DSHSBNYNQ5WCH2N9FN5MBT2AF,46.486420,756683,2018-01-28 21:28:54 UTC,0.0,0.0,0.0
0DSHSBZ5BPENAEYTCHVCY2WF5N,46.379608,756683,2018-01-28 21:29:24 UTC,0.0,0.0,0.0
0DSHSC8HK71GZ2M316ZZKVAF7S,46.318573,756683,2018-01-28 21:29:55 UTC,0.0,0.0,0.0
0DSHSCHRHJJ23TRN9XP4V5P6GM,46.165985,756683,2018-01-28 21:30:25 UTC,0.0,0.0,0.0
0DSHSCV4ZEJF4KACFQSG3B0YW7,46.127838,756683,2018-01-28 21:30:56 UTC,0.0,0.0,0.0
0DSHSD4BWTNHKSGDYMTB7MG54R,46.089691,756683,2018-01-28 21:31:26 UTC,0.0,0.0,0.0
0DSHSDDR6N14PW8H1SVDB6E3EB,46.165985,756683,2018-01-28 21:31:57 UTC,0.0,0.0,0.0
0DSHSDPZ6X1TWSH35A7H6B8YGC,46.196503,756683,2018-01-28 21:32:27 UTC,0.0,0.0,0.0
0DSHSE0BBZ63SX419G53QV10C4,46.165985,756683,2018-01-28 21:32:58 UTC,0.0,0.0,0.0
0DSHSE9JEGVDX8F9PN6KC0MNRT,46.074432,756683,2018-01-28 21:33:28 UTC,0.0,0.0,0.0
0DSHSEJYKYFD5RD81C92ZN1NFX,45.959991,756683,2018-01-28 21:33:59 UTC,0.0,0.0,0.0
0DSHSEW5PDKBEYG1D8CVVYWJJH,45.921844,756683,2018-01-28 21:34:29 UTC,0.0,0.0,0.0
0DSHSF5J2ET79C7BZADSNPK37S,46.066803,756683,2018-01-28 21:35:00 UTC,0.0,0.0,0.0
0DSHSFES0KWEKHW3HXKRQ5WTQ2,45.982880,756683,2018-01-28 21:35:30 UTC,0.0,0.0,0.0
0DSHSFR57K9T232M5M23SKK9EB,45.967621,756683,2018-01-28 21:36:01 UTC,0.0,0.0,0.0
0DSHSG1C0H2GCQQYTPGQ80P889,45.769257,756683,2018-01-28 21:36:31 UTC,0.0,0.0,0.0
0DSHSGAREP14N67435SBZG2HSR,45.761627,756683,2018-01-28 21:37:02 UTC,0.0,0.0,0.0
0DSHSGKZEZVF03650VA6DN263C,46.005768,756683,2018-01-28 21:37:32 UTC,0.0,0.0,0.0
0DSHSGXBX41P4Q2K5VKV4FDP15,46.112579,756683,2018-01-28 21:38:03 UTC,0.0,0.0,0.0
0DSHSHDMBF73C6MKCZMJFAVDW7,45.494598,756683,2018-01-28 21:38:56 UTC,0.0,0.0,0.0
0DSHSHPVEEX28VGJ1BFHEJQ5SC,45.471710,756683,2018-01-28 21:39:26 UTC,0.0,0.0,0.0
0DSHSJ07T9Z9VP3JMG98GET93A,46.608490,756683,2018-01-28 21:39:57 UTC,0.0,0.0,0.0
0DSHSJ9EVWAD6VT63J3ZJF23AV,45.685333,756683,2018-01-28 21:40:27 UTC,0.0,0.0,0.0
0DSHSJJTYVMFKRK2TT66036QE0,45.761627,756683,2018-01-28 21:40:58 UTC,0.0,0.0,0.0
0DSHSJW2FARJ7V28F0CVBCAAFN,45.593781,756683,2018-01-28 21:41:28 UTC,0.0,0.0,0.0
0DSHSK5ECRED37T3W9HAB3SH8B,45.280975,756683,2018-01-28 21:41:59 UTC,0.0,0.0,0.0
0DSHSKENDDYZ02GK5EY3NVTDKY,45.502228,756683,2018-01-28 21:42:29 UTC,0.0,0.0,0.0
0DSHSKR1DZX719H2M9FBSH2NNA,45.525116,756683,2018-01-28 21:43:00 UTC,0.0,0.0,0.0
0DSHSM18NEQK1KGZ8E43KY3Y6W,45.517487,756683,2018-01-28 21:43:30 UTC,0.0,0.0,0.0
0DSHSMAN066E8MNQ8JRC0E92S8,45.349640,756683,2018-01-28 21:44:01 UTC,0.0,0.0,0.0
0DSHSMKW13PP3S54MYT2VGFM44,45.258087,756683,2018-01-28 21:44:31 UTC,0.0,0.0,0.0
0DSHSMX83A79R1W9F3CQNR3N89,45.250458,756683,2018-01-28 21:45:02 UTC,0.0,0.0,0.0
0DSHSN6FCEK4V12TQ5C6XVQ6EP,45.410675,756683,2018-01-28 21:45:32 UTC,0.0,0.0,0.0
0DSHSNFVW56FAQH1TA25TENWKH,45.380157,756683,2018-01-28 21:46:03 UTC,0.0,0.0,0.0
0DSHSNS2M0KAKMG7M5ZY120QK1,45.090240,756683,2018-01-28 21:46:33 UTC,0.0,0.0,0.0
0DSHSP2ETF307DZ5V5S7WF41M7,45.212311,756683,2018-01-28 21:47:04 UTC,0.0,0.0,0.0
0DSHSPBPD386MY2R803SR6982R,45.052094,756683,2018-01-28 21:47:34 UTC,0.0,0.0,0.0
0DSHSPN28YZ3053272VRKRDANE,45.105499,756683,2018-01-28 21:48:05 UTC,0.0,0.0,0.0
0DSHSPY9GKQ4FWKQ7Q79RM4WEY,45.815033,756683,2018-01-28 21:48:35 UTC,0.0,0.0,0.0
0DSHSQ7PKMN3S8XF8THVZ84ZM5,45.502228,756683,2018-01-28 21:49:06 UTC,0.0,0.0,0.0
0DSHSQGXDHEJ69K7ZMGDA9YSX4,45.372528,756683,2018-01-28 21:49:36 UTC,0.0,0.0,0.0
0DSHSQT9NE305FS3Q29H60E3K3,45.395416,756683,2018-01-28 21:50:07 UTC,0.0,0.0,0.0
0DSHSR3G9FHRZJHDRYKVR01AZ9,45.601410,756683,2018-01-28 21:50:37 UTC,0.0,0.0,0.0
